#ID	x	y
THR19_0465_S01	124.4253	129.11165
TH01_0131_S01	170.7544	24.204
TH01_0132_S01	171.5907	25.306
TH38_1431_S01	119.8684	130.44427
THR19_0433_S01	122.4439	128.96141
TH38_1429_S01	77.25069	188.5026
TARGET-51-PAKWMM-01	144.4088	221.2739
TARGET-51-PALFEF-01	145.3657	220.5374
TH38_1443_S01	57.6428	113.3335
THR19_0419_S01	119.1998	131.68883
TH01_0665_S01	172.3259	25.596
TH38_1416_S01	50.7562	109.4857
THR14_1210_S01	104.8927	139.2798
THR14_1181_S01	80.23227	181.3333
TH01_0661_S01	51.3217	108.4311
THR19_0420_S01	123.1126	129.93697
TH01_0130_S01	169.5477	24.283
TH38_1433_S01	40.7074	102.1885
THR19_0476_S01	122.2889	130.12284
THR21_0538_S01	93.33701	141.6025
THR21_0542_S01	93.23694	137.5078
TH38_1333_S01	104.8761	135.8213
THR19_0431_S01	122.6929	130.04606
THR21_0533_S01	58.4196	109.9517
